FieldsBase Mooring Buoy Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:16 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Water depth (m),Vessel max size (dwt),Hose count,Remark
Northwest Europe,United Kingdom,,Ninian,Ninian,CNR International,Installed,Catenary Anchor Leg Mooring,2000,43,,0,3 platform developmen -future tie-in potential.Oryx agreed purchaseof chevron stake late july 1996.08/02.Kerr-mcgee sells to cnr
Northwest Europe,United Kingdom,,Pierce South (ex-Pierce),Pierce,Enterprise Oil Exploration,Installed,Submerged Turret,1998,85,"103,000",8,
Northwest Europe,United Kingdom,Port Meridian LNG,Port Meridian LNG,Port Meridian LNG,Port Meridian Energy,Planned,Submerged Turret,2017,41,,,
Northwest Europe,United Kingdom,Port Meridian LNG,Port Meridian LNG,Port Meridian LNG,Port Meridian Energy,Planned,Submerged Turret,2017,31,,,
Northwest Europe,United Kingdom,15/27,Rubie,R Block Redevelopment,Endeavour International,Cancelled,,2016,150,,,
Northwest Europe,United Kingdom,,Schiehallion/Loyal,Schiehallion Phase 1,BP,Installed,,1998,114,,0,Inc ph iii.01/06:subsea y 2y subsea cons+irm.03/06:extended to 5ycontract until 2011.
Northwest Europe,United Kingdom,16/6a,Sedgwick,Sedgwick,Enterprise Oil Exploration,Removed,Catenary Anchor Leg Mooring,1994,33,,0,Extended well test with semi high seas driller - stopped end june
Northwest Europe,United Kingdom,211/18a,Thistle,Thistle,Britoil,Installed,Single Anchor Leg Mooring,1975,162,"80,000",2,
Russian Arctic,Russia,,,Varandey Terminal,Lukoil,Installed,Submerged Turret,2002,12,"20,000",1,
South America,Argentina,,Comodoro Rivadavia,Comodoro Rivadavia,ENAP,Installed,Catenary Anchor Leg Mooring,1997,30,,0,One of two crude oil export terminals
South America,Argentina,,Comodoro Rivadavia,Comodoro Rivadavia,ENAP,Installed,Catenary Anchor Leg Mooring,1997,30,,0,One of two crude oil export terminals
South America,Argentina,,Hidra,Hidra,Total,Installed,Catenary Anchor Leg Mooring,1988,34,"130,000",1,
South America,Brazil,,,,,Planned,Single Anchor Leg Mooring,2015,22,,,
South America,Brazil,,,,,Planned,Single Anchor Leg Mooring,2015,22,,,
South America,Brazil,,,,,Planned,Single Anchor Leg Mooring,2015,22,,,
South America,Brazil,Albacora,Albacora,Albacora,Petrobras,Installed,Submerged Turret,1987,230,"55,000",5,Underwater hoses connected to an FPSO vessel.
South America,Brazil,,,Atalaia Terminal (Tecarmo),,Installed,,1981,6,,,11/07 off onshore UPGN Atalaia terminal which serves various fields offshore in Sergipe fields. Oil is sent back offshore for export via this buoy.
South America,Brazil,,Badejo,Badejo,Petrobras,Installed,Catenary Anchor Leg Mooring,1981,103,"53,000",2,Stock unit.  Permanent mooring with an FSO vessel.
South America,Brazil,BM-S-11,Lula (ex-Tupi),BG Santos Basin FSO (OTF),Petrobras,Possible,Catenary Anchor Leg Mooring,2017,600,,,
South America,Brazil,BM-S-11,Lula (ex-Tupi),BG Santos Basin FSO (OTF),Petrobras,Possible,Catenary Anchor Leg Mooring,2017,600,,,
South America,Brazil,,Bijupira Salema,Bijupira Salema,Shell,Installed,Catenary Anchor Leg Mooring,2003,705,"357,000",0,
South America,Brazil,,Corvina/Malhado/Congro 2012,Corvina,Petrobras,Installed,Catenary Anchor Leg Mooring,1983,150,"53,000",2,
South America,Brazil,,Enchova,Enchova,Petrobras,Installed,Catenary Anchor Leg Mooring,1979,125,"53,000",1,
South America,Brazil,,Garoupa,Garoupa,Petrobras,Installed,Catenary Anchor Leg Mooring,1978,125,"53,000",2,Permanent storage of storage/processing tanker.
South America,Brazil,,Garoupa,Garoupa,Petrobras,Installed,Submerged Turret,1983,120,"55,000",5,Underwater hoses connected to an FPSO vessel.
South America,Brazil,,Marlim,Marlim Module 1,Petrobras,Installed,Catenary Anchor Leg Mooring,1989,400,"120,000",1,Permanent mooring with an FSO vessel.
South America,Brazil,,Marlim,Marlim Module 1,Petrobras,Installed,Catenary Anchor Leg Mooring,1989,400,"120,000",1,
South America,Brazil,,Marlim Sul,Marlim Sul - Module 1,Petrobras,Installed,Catenary Anchor Leg Mooring,1997,"1,420","127,000",0,"Moor FPSO ""FPSO II""; producing Marlim Sul-3 well."
South America,Brazil,,Pampo,Pampo,Petrobras,Removed,Catenary Anchor Leg Mooring,1982,140,"53,000",1,
South America,Brazil,BM-CAL-4,Pirauna,"Pampo, Pirauna",Petrobras,Removed,Catenary Anchor Leg Mooring,1988,150,,,"11/07 installed on Pampo field in 1980 for two years, then modified and reinstalled on Pirauna in 1988"
South America,Brazil,,,PDET Program,Petrobras,Installed,Catenary Anchor Leg Mooring,2006,32,,0,Pra-1 awarded 06/04: techint (Jacket); sulzer (Pumps);rolls royce (Electric); cno/utc (Fab). FSO bids due 03/05.
South America,Brazil,,,PDET Program,Petrobras,Installed,Catenary Anchor Leg Mooring,2006,32,,0,Pra-1 awarded 06/04: techint (Jacket); sulzer (Pumps);rolls royce (Electric); cno/utc (Fab). FSO bids due 03/05.
South America,Brazil,BM-C-7,Peregrino,Peregrino,Statoil,Installed,,2010,,,,
South America,Brazil,,,UOTE,Petrobras,Construction,Catenary Anchor Leg Mooring,2015,70,,,
South America,Brazil,,,UOTE,Petrobras,Construction,Catenary Anchor Leg Mooring,2015,70,,,
South America,Brazil,,,UOTE No.2,Petrobras,Possible,,2017,21,,,
South America,Brazil,,,UOTE No.2,Petrobras,Possible,,2017,21,,,
South America,Brazil,,,UOTE No.3,Petrobras,Possible,,2020,21,,,
South America,Brazil,,,UOTE No.3,Petrobras,Possible,,2020,21,,,
South America,Brazil,,,UOTE No.4,Petrobras,Possible,,2022,21,,,
South America,Brazil,,,UOTE No.4,Petrobras,Possible,,2022,21,,,
South America,Chile,,,Mejillones Combustible Terminal,Petrobras,Possible,,2015,9,,,
South America,Chile,,,Mejillones Combustible Terminal,Petrobras,Possible,,2015,9,,,
South America,Colombia,,,Covenas 1986,"Oxy Petroleum, Inc.",Removed,Catenary Anchor Leg Mooring,1986,35,"390,000",0,Bluewater supplied
South America,Colombia,,,Covenas 1986,"Oxy Petroleum, Inc.",Removed,Catenary Anchor Leg Mooring,1986,25,"120,000",0,Bluewater supplied
South America,Colombia,,,Covenas 2011,Ocensa,Installed,Catenary Anchor Leg Mooring,2011,,,,"1/11 installed Jan 17, 2011; replacing two aged buoys"
South America,Colombia,,,Covenas 2011,Ocensa,Installed,Catenary Anchor Leg Mooring,2011,29,"160,000",0,"1/11 installed Jan 17, 2011; replacing two aged buoys"
South America,Peru,Z-1,Albacora,Albacora Rehab. Program (EPS),BPZ Energy,Installed,,2012,30,,,2/08 will be moored by transportation barge to and be connected to shuttle tanker. transportation barge will then take oil to shore.
South America,Peru,Z-1,Corvina,Corvina Rehab. Program,BPZ Energy,Installed,,2007,30,,1,11/07 will load unto shuttle tanker that will then transfer to refinery onshore.
South America,Peru,Z-1,Corvina,Corvina Rehab. Program,BPZ Energy,Installed,,2007,30,,2,11/07 will load from platform to FPSO
South America,Peru,Z-1,Corvina,Corvina Rehab. Program,BPZ Energy,Installed,,2007,,,1,11/07 will offload from FPSO to shuttle tankers to take to transportation barge 70 miles away
South America,Peru,,,Talara Modernization,PetroPeru,Planned,,2015,24,,,
South America,Peru,,,Talara Modernization,PetroPeru,Planned,,2015,24,,,
South America,Peru,,,Talara Modernization,PetroPeru,Planned,,2015,24,,,
South America,Peru,,,Talara Modernization,PetroPeru,Planned,,2015,24,,,
South America,Peru,,,Talara Modernization,PetroPeru,Planned,,2015,24,,,
South America,Venezuela,,Jose Terminal,Jose Terminal,Petrozuata CA,Installed,Catenary Anchor Leg Mooring,1998,25,"96,500",3,"Petrozuata is a jv: Conoco Venezuela 51%, Maraven 49%. Loading 'Patriot' class tankers with synthetic crude."
South America,Venezuela,,Moron,Moron,Corpoven,Installed,Catenary Anchor Leg Mooring,1968,32,"100,000",2,
Southeast Asia,Brunei Darussalam,,,Mukim Liang-Kuala Belait BEDB,Brunei Economic Development Board,Installed,Catenary Anchor Leg Mooring,2009,,,,"Designed to accomodate tankers ranging from 2,000 DWT to 46,000 DWT."
Southeast Asia,Brunei Darussalam,12,Seria,Seria,Shell,Installed,Catenary Anchor Leg Mooring,1971,22,"150,000",2,
Southeast Asia,Brunei Darussalam,12,Seria,Seria,Shell,Installed,Catenary Anchor Leg Mooring,1981,27,"313,000",2,
Southeast Asia,Indonesia,Natuna Sea Block A,Anoa,Anoa,Amoseas,Installed,Catenary Anchor Leg Mooring,1990,77,"252,000",3,"External turret mooring system connect to FPSO ""Anoa Natuna""."
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Ardjuna,Ardjuna,"BP, Exspans",Installed,Catenary Anchor Leg Mooring,1973,42,"150,000",3,"Permanent mooring to FSO ""Ardjuna""."
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Ardjuna,Ardjuna,"BP, Exspans",Installed,Catenary Anchor Leg Mooring,1973,38,"200,000",2,
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Ardjuna,Ardjuna,"BP, Exspans",Installed,Catenary Anchor Leg Mooring,1974,43,"66,000",2,Underwater hoses tied to FSO unit for LPG refrigeration.
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Ardjuna,Ardjuna,"BP, Exspans",Installed,Catenary Anchor Leg Mooring,1981,41,"56,000",1,Butane storage and loading.
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Ardjuna,Ardjuna,"BP, Exspans",Installed,Catenary Anchor Leg Mooring,1985,41,"250,000",3,"Permanent mooring to FSO ""Citra Ayu""."
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Ardjuna,Ardjuna,"BP, Exspans",Installed,Catenary Anchor Leg Mooring,1985,41,"250,000",2,
Southeast Asia,Indonesia,,Arun,Arun Field,Mobil,Installed,Catenary Anchor Leg Mooring,1984,59,"280,000",2,
Southeast Asia,Indonesia,,Balikpapan,Balikpapan,Unocal,Installed,Catenary Anchor Leg Mooring,1971,31,"250,000",3,
Southeast Asia,Indonesia,,Balikpapan,Balikpapan,Pertamina,Installed,Catenary Anchor Leg Mooring,1983,31,"150,000",2,
Southeast Asia,Indonesia,,,Balongan 1979,Pertamina,Installed,Catenary Anchor Leg Mooring,1979,23,"150,000",3,
Southeast Asia,Indonesia,,,Balongan 1979,Pertamina,Installed,Catenary Anchor Leg Mooring,1984,14,"35,000",1,
Southeast Asia,Indonesia,,,Balongan 1979,Pertamina,Installed,Catenary Anchor Leg Mooring,1993,14,"40,000",3,
Southeast Asia,Indonesia,,,Balongan 1979,Pertamina,Installed,Catenary Anchor Leg Mooring,1997,,"150,000",0,Crude oil import terminal
Southeast Asia,Indonesia,Cepu,Banyu Urip,Banyu Urip,ExxonMobil,Installed,,2014,33,,,03/11: The mooring buoy covers a piled structure that will have a 360-degree rotating assembly and an articulated yoke as well as lifting and pigging facilities.
Southeast Asia,Indonesia,Mahakam,Bekapai,Bekapai Storage,Total,Installed,Catenary Anchor Leg Mooring,1974,37,"100,000",2,Originally for FSO.  Now serves as backup for Senipah terminal.
Southeast Asia,Indonesia,South Natuna Sea Block B,Belanak,Belanak Eastern Hub LPG,ConocoPhillips,Installed,Catenary Anchor Leg Mooring,2006,27,,0,"Fpso-process capacity of100,000b/d crude;50,000 b/d h20;300 mmscf/gas.100km from belida.Gas sales signed (04/01). Preq: lpg-fso"
Southeast Asia,Indonesia,West Natuna Block B,Belida,Belida - Block B Facilities,ConocoPhillips,Installed,Catenary Anchor Leg Mooring,1992,76,"175,000",2,"Permanent mooring to FSO ""Intan""."
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Bima,Bima,BP,Installed,Catenary Anchor Leg Mooring,1986,34,"250,000",3,
Southeast Asia,Indonesia,,Cengkareng,Cengkareng,Pertamina,Installed,Catenary Anchor Leg Mooring,1997,21,"35,000",2,Refinery
Southeast Asia,Indonesia,,,Central Java LNG FSRU terminal,Pertamina,Tendering,,2016,10,,,
Southeast Asia,Indonesia,,Cilacap,Cilacap,Pertamina,Installed,Catenary Anchor Leg Mooring,1994,35,"250,000",2,
Southeast Asia,Indonesia,,Cinta,FSO Cinta Natomas Replacement,Maxus,Removed,Catenary Anchor Leg Mooring,1972,41,"133,000",4,Permanent mooring for a storage barge.
Southeast Asia,Indonesia,,Cinta,FSO Cinta Natomas Replacement,Maxus,Installed,Catenary Anchor Leg Mooring,1981,41,"133,000",4,"Replacement unit.  Permanent mooring for FSO ""Cinta Natomas""."
Southeast Asia,Indonesia,Mahakam,Handil,Handil,Total,Installed,Catenary Anchor Leg Mooring,1976,32,"125,000",2,
Southeast Asia,Indonesia,,,Java sea 2011,Pertamina,Installed,,2011,6,,,
Southeast Asia,Indonesia,Kakap,Kakap,Kakap,Marathon,Installed,Catenary Anchor Leg Mooring,1986,88,"138,000",4,"Underwater hoses connected to FPSO ""Kakap Natuna""."
Southeast Asia,Indonesia,West Madura Offshore (WMO),PHE-2,KE-2/KE-5,Kodeco,Installed,Catenary Anchor Leg Mooring,1985,28,"120,000",2,Leased unit.
Southeast Asia,Indonesia,,Krisna,Krisna,Maxus,Installed,Catenary Anchor Leg Mooring,1984,40,"230,000",5,Permanent mooring with an FSO vessel.
Southeast Asia,Indonesia,,,Lawe-Lawe CCT offshore segment,Pertamina,Tendering,Conventional Buoy Mooring,2015,60,,,
Southeast Asia,Indonesia,,Pagerungan,Pagerungan Phase I,BP,Installed,Catenary Anchor Leg Mooring,1993,64,"125,000",0,Condensate storage to FSO vessel.
Southeast Asia,Indonesia,,Pagerungan Utara,Pagerungan Utara Offshore (PUO),Kangean Energy,Installed,,2010,90,,,
Southeast Asia,Indonesia,West Madura Offshore (WMO),Poleng,Poleng - 1998,Kodeco,Installed,Catenary Anchor Leg Mooring,1975,55,"55,000",2,Underwater hoses connected to FSO unit.
Southeast Asia,Indonesia,West Madura Offshore (WMO),Poleng,Poleng - 1998,Kodeco,Installed,,1996,37,,0,"Upgrading of fac on poleng a+b to increase output to 15,000b/d.Prequals close 01/01. Tender: feas study for gas/water inject 01/02"
Southeast Asia,Indonesia,Poleng,Poleng,Poleng SPM replacement,Kodeco,Installed,Conventional Buoy Mooring,2013,,,,
Southeast Asia,Indonesia,Offshore North West Java (ONWJ),Ardjuna,Single Point Mooring EPC,Exspans,Installed,Single Anchor Leg Mooring,2011,,,,
Southeast Asia,Indonesia,Bontang,Santan,SPM refurbishment,Unocal,Installed,,2011,,,,"09/10: Refurbishment of SPM onshore, including parts replacement, and re-installation."
Southeast Asia,Indonesia,Kangean,"Terang/Sirasun/Batur (TSB), Terang",TSB Phase 1 (Terang),Kangean Energy,Installed,,2011,,,,
Southeast Asia,Indonesia,South Natuna Sea Block B,Udang,Udang,ConocoPhillips,Installed,Catenary Anchor Leg Mooring,1980,92,"93,000",2,Underwater hoses connected to an FSO unit.
Southeast Asia,Indonesia,,,West Java LNG Regasification Terminal Project,Pertamina,Installed,Catenary Anchor Leg Mooring,2011,,,,
Southeast Asia,Indonesia,South East Sumatra (SES),Widuri,Widuri 1,Maxus,Installed,Catenary Anchor Leg Mooring,1990,21,"150,000",0,"Permanent mooring to FSO ""Maxus Widuri""."
Southeast Asia,Indonesia,South East Sumatra (SES),Widuri,Widuri 1,Maxus,Installed,Catenary Anchor Leg Mooring,1990,21,"150,000",0,
Southeast Asia,Joint Development,A-18,Cakerawala,Cakerawala,CTOC,Installed,,2002,61,,0,
Southeast Asia,Malaysia,PM309,Berantai,Berantai Phase I,"Petrofac, Petronas Carigali",Installed,,2011,,,,
Southeast Asia,Malaysia,Dulang,Dulang,Dulang,Petronas Carigali,Installed,Submerged Turret,1990,78,"123,500",2,"Permanent mooring with FSO ""Puteri Dulang""."
Southeast Asia,Malaysia,SK315,Kayu Manis SE/Anjung Kecil,"KMSE/AJK Extended Well Testing (EWT), KMSE/AJK Marginal Field Development",Petronas Carigali,Installed,Catenary Anchor Leg Mooring,2013,87,,,
Southeast Asia,Malaysia,,,Labuan Crude Oil Terminal (LCOT),Shell,Installed,Catenary Anchor Leg Mooring,1974,30,"313,000",2,
Southeast Asia,Malaysia,,,Miri Crude Oil Terminal,Shell,Installed,Catenary Anchor Leg Mooring,1959,15,"70,000",3,
Southeast Asia,Malaysia,,,Miri Crude Oil Terminal,Shell,Installed,Catenary Anchor Leg Mooring,1962,15,"70,000",3,
Southeast Asia,Malaysia,,,Miri Crude Oil Terminal,Shell,Installed,Catenary Anchor Leg Mooring,1963,16,"70,000",3,
Southeast Asia,Malaysia,,,Miri Crude Oil Terminal,Shell,Installed,Catenary Anchor Leg Mooring,1963,15,"70,000",3,
Southeast Asia,Malaysia,,,Miri Crude Oil Terminal,Shell,Installed,Catenary Anchor Leg Mooring,1985,30,"250,000",2,
Southeast Asia,Malaysia,,,Miri Crude Oil Terminal,Shell,Installed,Catenary Anchor Leg Mooring,1985,14,"100,000",2,Stock unit.
Southeast Asia,Malaysia,,,Miri Crude Oil Terminal,Shell,Installed,Catenary Anchor Leg Mooring,1986,14,"100,000",3,
Southeast Asia,Malaysia,,,Off Bintulu,Shell,Installed,Catenary Anchor Leg Mooring,1979,20,"210,000",2,
Southeast Asia,Malaysia,,Port Dickson,Off Port Dickson,Shell,Installed,Catenary Anchor Leg Mooring,1962,27,"100,000",2,
Southeast Asia,Malaysia,,Port Dickson,Off Port Dickson,Shell,Installed,Catenary Anchor Leg Mooring,1983,29,"150,000",2,
Southeast Asia,Malaysia,,Port Dickson,Off Port Dickson,,Installed,Conventional Buoy Mooring,1998,32,"100,000",0,For Cabot (Malaysia) Sdn Bhd: CABOT Offshore Terminals & Pipelines Project. INTEC providing engrg support svcs.
Southeast Asia,Malaysia,,Terengganu,Offshore Terengganu - Melaka,Malaysian Refining,Installed,Catenary Anchor Leg Mooring,1998,34,"300,000",2,"Connect to 48"", 7-mile p/l."
Southeast Asia,Malaysia,,Terengganu,Offshore Terengganu - Melaka,Petronas Carigali,Installed,Catenary Anchor Leg Mooring,1999,18,"85,000",0,Replace 17yr-old buoy serving as dual product import/export.
Southeast Asia,Malaysia,SK309,Patricia West,Patricia West,Murphy,Installed,Catenary Anchor Leg Mooring,2003,40,,0,"Field start-up May 19, 2003."
Southeast Asia,Malaysia,PM318,Pulai,Pulai,ExxonMobil,Installed,Single Anchor Leg Mooring,1974,73,"190,000",1,Permanently moored to FSO unit.
Southeast Asia,Malaysia,PM318,Pulai,Pulai,ExxonMobil,Installed,Single Anchor Leg Mooring,1978,66,"167,000",3,Jumper hoses connected to an FSO unit.
Southeast Asia,Malaysia,SB-1,,Sabah Oil and Gas Terminal (SOGT),Petronas Carigali,Installed,,2012,,,,
Southeast Asia,Malaysia,SB-1,,Sabah Oil and Gas Terminal (SOGT),Petronas Carigali,Installed,,2012,,,,
Southeast Asia,Malaysia,,Sarawak,Sarawak,Shell,Installed,Catenary Anchor Leg Mooring,1995,76,"350,000",0,
Southeast Asia,Malaysia,,Tembungo,Tembungo,Petronas Carigali,Installed,Single Anchor Leg Mooring,1974,90,"94,000",1,
Southeast Asia,Philippines,SC 6,Cadlao,Cadlao,Alcorn,Removed,Single Anchor Leg Mooring,1981,91,"127,000",4,Underwater hoses connected to an FPSO vessel.
Southeast Asia,Philippines,SC 6,Cadlao,Cadlao Redevelopment,Blade Petroleum,Planned,Catenary Anchor Leg Mooring,2015,91,,,
Southeast Asia,Philippines,SC 38,Malampaya/Camago,Malampaya/Camago Phase I,Shell,Installed,Catenary Anchor Leg Mooring,2001,75,"110,000",0,"Approx. 2 miles from Concrete Gravity Base Platform; for condensate export from the concrete gravity Production Platform to tankers through a 2.5km long 24-in pipeline. Capable of accommodating 40,000 - 110,000 dwt tankers."
Southeast Asia,Philippines,SC 14A,Matinloc,Matinloc,Occidental,Installed,Single Anchor Leg Mooring,1982,76,"75,000",2,Unit moved from Nido Field and since removed (year unknown).
Southeast Asia,Philippines,SC 14A,Nido,Nido Field,Alcorn,Removed,Catenary Anchor Leg Mooring,1979,91,"70,000",2,Jumper hoses connected to an FSO.  Unit moved to Mantinloc Field in 1984.
Southeast Asia,Philippines,SC 14A,Nido,Nido Field,Alcorn,Installed,Catenary Anchor Leg Mooring,1982,73,"55,000",2,
Southeast Asia,Philippines,C,West Linapacan A,West Linapacan,Alcorn,Installed,Single Anchor Leg Mooring,1992,351,"127,000",3,"Underwater hoses connected to FPSO ""FPSO II""."
Southeast Asia,Singapore,,Pulau Bukom,Pulau Bukom,Shell,Installed,,1974,,"300,000",2,
Southeast Asia,Singapore,,Pulau Bukom,Pulau Bukom,Shell,Installed,Catenary Anchor Leg Mooring,1992,35,"350,000",0,
Southeast Asia,Thailand,B16/17,Bongkot,Bongkot Phase 1,PTTEP,Installed,,1993,24,,0,Central prod/quarters platforms bridge-linked with 3 wellheads tiedback. Pttep takes over operatorship from total 06/07/98.
Southeast Asia,Thailand,B16/17,Bongkot,Bongkot Phase 3A,PTTEP,Installed,Catenary Anchor Leg Mooring,2000,80,,0,For FSO to replace existing BONGKOT FSO to be scrapped; corroded ballast tanks
Southeast Asia,Thailand,B16/17,Bongkot,Bongkot Phase 3A,PTTEP,Installed,Catenary Anchor Leg Mooring,2003,80,"60,000",0,"Called the ""Pathumabaha"" External Turret."
Southeast Asia,Thailand,,Erawan,Erawan,Unocal,Installed,Catenary Anchor Leg Mooring,1981,68,"85,000",1,
Southeast Asia,Thailand,,Erawan,Erawan,Unocal,Installed,Catenary Anchor Leg Mooring,1995,70,"150,000",0,Installed. SPM No. 2
Southeast Asia,Thailand,,Erawan,Erawan,Unocal,Installed,Catenary Anchor Leg Mooring,1995,67,"150,000",0,
Southeast Asia,Thailand,G1/48,Manora,Manora,Mubadala Petroleum,Installed,Conventional Buoy Mooring,2014,46,,,
Southeast Asia,Thailand,,Map Ta Phut,Offshore Rayong - Map Ta Phut,Star Petroleum,Installed,Catenary Anchor Leg Mooring,1995,24,"280,000",2,"Terminal name is ""Map Ta Phut""."
Southeast Asia,Thailand,G5/43,Songkhla,Songkhla Phase 1,NuCoastal,Installed,Catenary Anchor Leg Mooring,2009,,,,To be used as a permanent mooring system for a Songkhla FSO.
Southeast Asia,Thailand,,,Sri Racha New Buoy,Thai Oil,Installed,Catenary Anchor Leg Mooring,2007,30,,0,"Buoy will have a capacity of 220,000 barrels per day and will serve as an offloading point for VLCC size tankers."
Southeast Asia,Thailand,,,Sri Racha Terminal,Thai Oil,Installed,Catenary Anchor Leg Mooring,1993,27,,,
Southeast Asia,Vietnam,9-1,Bach Ho (White Tiger),Bach Ho,Vietsovpetro,Removed,Catenary Anchor Leg Mooring,1984,50,"150,000",2,Underwater hoses connected to an FPSO vessel.
Southeast Asia,Vietnam,9-1,Bach Ho (White Tiger),Bach Ho,Vietsovpetro,Installed,Catenary Anchor Leg Mooring,1991,50,"155,000",2,Underwater hoses connected to an FSO vessel.
Southeast Asia,Vietnam,05-1A,Dai Hung,Dai Hung Phase I,PVEP,Installed,Catenary Anchor Leg Mooring,1994,110,,0,
Southeast Asia,Vietnam,05-1A,Dai Hung,Dai Hung Phase II and III,Vietsovpetro,Installed,Catenary Anchor Leg Mooring,2007,35,,0,Mps deepsea pioneer producing to calm/fsu for shuttle tanker off-take-future dev phases on-hold.Bhp sold to petronas-june 1997.
Southeast Asia,Vietnam,05-1A,Dai Hung,Dai Hung Phase II and III,Vietsovpetro,Installed,Catenary Anchor Leg Mooring,2007,35,,0,Mps deepsea pioneer producing to calm/fsu for shuttle tanker off-take-future dev phases on-hold.Bhp sold to petronas-june 1997.
Southeast Asia,Vietnam,05-1A,Dai Hung,Dai Hung Phase II Expansion,PVEP,Installed,Catenary Anchor Leg Mooring,2011,115,,,
Southeast Asia,Vietnam,,,Nghi Son Refinery offshore scope,PetroVietnam,Construction,Conventional Buoy Mooring,2016,27,,,"35km from shoreline, east side of Hon Me Island"
Southeast Asia,Vietnam,01-02,Ruby,Ruby Phase I,Petronas Carigali,Installed,,1997,15,,0,Early prod system-fpso+remote wellhead.Nortrans to convert tankerknock davie-keppel singapore.Inst sept/oct98.B&r has plt eng-0897.
Southeast Asia,Vietnam,15-1,Su Tu Den,Su Tu Den,Cuu Long JOC,Installed,Catenary Anchor Leg Mooring,2003,47,"151,000",0,CLJOC = Cuu Long Joint Operating Company. Connected to the Su Tu Den FPSO.
"USA, Atlantic",USA,,,Liberty Natural Gas,,Cancelled,Submerged Turret,2013,30,,,
"USA, Atlantic",USA,,,Liberty Natural Gas,,Cancelled,Submerged Turret,2013,30,,,
"USA, Atlantic",USA,,,Liberty Natural Gas,,Cancelled,Submerged Turret,2013,30,,,
"USA, Atlantic",USA,,,Liberty Natural Gas,,Cancelled,Submerged Turret,2013,30,,,
"USA, Atlantic",USA,,,Neptune Deepwater Port,SUEZ LNG,Installed,Submerged Turret,2009,,,0,"12/06:awaiting env decision by end of dec, governor decision by jan12/06: governor approves,cg and marad to finalize processing of app"
"USA, Atlantic",USA,,,Neptune Deepwater Port,SUEZ LNG,Installed,Submerged Turret,2009,,,0,"12/06:awaiting env decision by end of dec, governor decision by jan12/06: governor approves,cg and marad to finalize processing of app"
"USA, Gulf of Mexico",USA,Green Canyon - 254,Allegheny,Allegheny,Eni,Installed,,1999,302,,0,"Seastar mini TLP dev in gc 253, 254, 297, 298. Av 2000 prod seen at21,000 boe/d v. Expected 25,000 boe/d due to poor well performance."
"USA, Gulf of Mexico",USA,,,Bienville Offshore Energy Terminal (BOET),,Possible,Submerged Turret,2017,130,,,
"USA, Gulf of Mexico",USA,Walker Ridge - 206,Cascade/Chinook,Cascade/Chinook Phase 1,Petrobras,Installed,Disconnectable Riser Turret,2009,,,,Mooring buoy
"USA, Gulf of Mexico",USA,West Cameron - 603,West Cameron 603,"Gulf Gateway LNG, Gulf Gateway LNG decommissioning",El Paso,Out of Service,Submerged Turret,2004,91,"105,000",0,First LNG is scheduled to be delivered by end-March 2005.
"USA, Gulf of Mexico",USA,Grand Isle - 59,,LOOP,LOOP LLC,Installed,Single Anchor Leg Mooring,1980,35,"700,000",2,
"USA, Gulf of Mexico",USA,Grand Isle - 59,,LOOP,LOOP LLC,Installed,Single Anchor Leg Mooring,1980,35,"700,000",2,
"USA, Gulf of Mexico",USA,Grand Isle - 59,,LOOP,LOOP LLC,Installed,Single Anchor Leg Mooring,1980,34,"700,000",2,
"USA, Gulf of Mexico",USA,,,Main Pass Energy Hub,McMoRan,Planned,,2016,64,,,
"USA, Gulf of Mexico",USA,,,Main Pass Energy Hub,McMoRan,Planned,,2016,64,,,
"USA, Gulf of Mexico",USA,,,Main Pass Energy Hub,McMoRan,Planned,,2016,64,,,
"USA, Gulf of Mexico",USA,,,Main Pass Energy Hub,McMoRan,Planned,,2016,64,,0,
"USA, Gulf of Mexico",USA,,,Main Pass Energy Hub,McMoRan,Planned,,2016,64,,,
"USA, Gulf of Mexico",USA,,,Main Pass Energy Hub,McMoRan,Planned,,2016,64,,,
"USA, Gulf of Mexico",USA,,,Port Dolphin LNG,HOEGH,Planned,Submerged Turret,2016,30,,,
"USA, Gulf of Mexico",USA,,,Port Dolphin LNG,HOEGH,Planned,Submerged Turret,2016,30,,,
"USA, Gulf of Mexico",USA,,,TOPS,Oiltanking Holding Americas,Cancelled,,2013,35,,,
"USA, Gulf of Mexico",USA,,,TOPS,Oiltanking Holding Americas,Cancelled,,2013,35,,,
"USA, Pacific",USA,188,Hondo,Hondo,ExxonMobil,Removed,Single Anchor Leg Mooring,1980,151,"50,000",9,Permanent mooring with an FPSO vessel.
