FieldsBase Subsea Installation Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:17 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Tree supplier,Total wells,Water depth (m),Remark
"USA, Gulf of Mexico",USA,Garden Banks - 205,Garden Banks 205,Garden Banks 205,Hess,Removed,,2002,,1,405,
"USA, Gulf of Mexico",USA,Garden Banks - 205,Garden Banks 205,"Garden Banks 205, Garden Banks 205 Decommissioning",Nexen,Decommissioned,Satellite,2005,Dril-Quip,1,405,Tree removed from well #1 and placed on well #3
"USA, Gulf of Mexico",USA,Garden Banks - 208,Garden Banks 208,"Garden Banks 208, Garden Banks 208 Decommissioning",McMoRan,Removed,Satellite,2004,Dril-Quip,1,380,
"USA, Gulf of Mexico",USA,Garden Banks - 235,Garden Banks 235,Garden Banks 235,ConocoPhillips,Installed,Satellite,1994,FMC,1,246,
"USA, Gulf of Mexico",USA,Garden Banks - 26,Garden Banks 26,Garden Banks 26,Energy Partners,Installed,Satellite,1996,,1,151,
"USA, Gulf of Mexico",USA,Garden Banks - 378,Garden Banks 378,Garden Banks 378,Hess,Installed,Satellite,2004,,1,623,
"USA, Gulf of Mexico",USA,Garden Banks - 70,Garden Banks 70,"Garden Banks 70, Garden Banks 70 Decommissioning",Newfield Exploration,Decommissioned,Cluster,1995,FMC,1,232,
"USA, Gulf of Mexico",USA,Garden Banks - 71,Garden Banks 71,Garden Banks 71,Newfield Exploration,Installed,Cluster,1995,FMC,1,232,
"USA, Gulf of Mexico",USA,Garden Banks - 71,Garden Banks 71,Garden Banks 71,Newfield Exploration,Installed,Cluster,1997,FMC,1,232,
"USA, Gulf of Mexico",USA,East Cameron - 347,Garnet,"Garnet, Garnet Decommissioning",Apache,Decommissioned,Satellite,2000,FMC,2,91,
"USA, Gulf of Mexico",USA,Garden Banks - 462,Geauxpher,Geauxpher,Mariner Energy,Installed,,2008,Cameron,2,823,"both are 10,000 psi."
"USA, Gulf of Mexico",USA,Miss Canyon - 292,Gemini,Gemini,Chevron,Installed,Cluster,1999,Cooper Cameron,3,"1,034",
"USA, Gulf of Mexico",USA,,Genghis Khan,Genghis Khan,BHP Billiton,Installed,Cluster,2008,,4,"1,320",
"USA, Gulf of Mexico",USA,Miss Canyon - 800,Gladden,Gladden,Newfield Exploration,Installed,,2008,,1,950,
"USA, Gulf of Mexico",USA,Green Canyon - 248,Glider,Glider,Shell,Installed,Satellite,2004,FMC,2,"1,049",
"USA, Gulf of Mexico",USA,Green Canyon - 248,Glider,Glider Phase II,Shell,Planned,,2015,FMC,4,"1,036",-Shell has frame agreement in place with FMC for dw ss equipment
"USA, Gulf of Mexico",USA,Miss Canyon - 771,Goldfinger,Goldfinger,Dominion E&P,Installed,Satellite,2005,Cameron,1,"1,653",
"USA, Gulf of Mexico",USA,Miss Canyon - 711,Gomez,Gomez,ATP Oil & Gas,Installed,Cluster,2007,Dril-Quip,5,914,
"USA, Gulf of Mexico",USA,Miss Canyon - 751,Goose,Goose,LLOG,Installed,Cluster,2011,FMC,1,488,6/11: tree being set by Semi Noble Amos Runner
"USA, Gulf of Mexico",USA,Alaminos Canyon - 856,Gotcha,Gotcha,Shell,Possible,,2018,,9,"2,382",
"USA, Gulf of Mexico",USA,Grand Isle - 101,Grand Isle 101,Grand Isle 101,Walter Oil & Gas,Installed,Satellite,2002,,1,66,
"USA, Gulf of Mexico",USA,Grand Isle - 109,Grand Isle 109,Grand Isle 109,Walter Oil & Gas,Installed,Satellite,2000,Dril-Quip,1,85,Commence production 1q01.
"USA, Gulf of Mexico",USA,Grand Isle - 16,Grand Isle 16,Grand Isle 16,ExxonMobil,Installed,Satellite,1967,Cooper Cameron,2,18,
"USA, Gulf of Mexico",USA,Grand Isle - 32,Grand Isle 32,Grand Isle 32,ConocoPhillips,Installed,Satellite,1980,Cooper Cameron,2,30,
"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,ConocoPhillips,Installed,Satellite,1978,Cooper Cameron,3,30,
"USA, Gulf of Mexico",USA,Grand Isle - 43,Grand Isle 43,Grand Isle 43,ConocoPhillips,Installed,Satellite,1978,Cooper Cameron,1,35,
"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,ConocoPhillips,Installed,Satellite,1978,Cooper Cameron,2,30,
"USA, Gulf of Mexico",USA,Miss Canyon - 562,Greater Galapagos,Greater Galapagos,BP,Installed,Satellite,2011,Cameron,2,"1,981",
"USA, Gulf of Mexico",USA,Miss Canyon - 519,Greater Galapagos,Greater Galapagos,Noble Energy,Installed,Satellite,2011,Cameron,1,"1,986",
"USA, Gulf of Mexico",USA,Miss Canyon - 519,Greater Galapagos,Greater Galapagos,BP,Installed,,2011,Cameron,1,"1,989",6/11- Ensco 8501 completing well
"USA, Gulf of Mexico",USA,Green Canyon - 137,Green Canyon 137,Green Canyon 137,Hess,Installed,Satellite,2004,FMC,1,355,
"USA, Gulf of Mexico",USA,Green Canyon - 141,Green Canyon 141,Green Canyon 141,LLOG,Installed,,2010,,1,305,
"USA, Gulf of Mexico",USA,Green Canyon - 6,Green Canyon 6,Green Canyon 6 Subsea,Chevron,Installed,,2005,,2,213,
"USA, Gulf of Mexico",USA,Green Canyon - 6,Green Canyon 6,Green Canyon 6 Subsea Phase II,Chevron,Installed,Satellite,2008,FMC,1,190,FMC 10k Horizontal Tree
"USA, Gulf of Mexico",USA,Miss Canyon - 948,Gunflint,Gunflint,Noble Energy,Tendering,Cluster,2016,,3,"1,859",Atwood Advantage to drill subsea wells
"USA, Gulf of Mexico",USA,Garden Banks - 668,Gunnison,Gunnison,Anadarko,Installed,Satellite,2003,FMC,1,960,JP Kenny is conducting detailed engineering & design for the tiebacks. FMC selected to deliver the SS trees. Delivery is scheduled to commence 4q02.
"USA, Gulf of Mexico",USA,Garden Banks - 668,Gunnison,Gunnison,Anadarko,Installed,,2003,FMC,3,960,
"USA, Gulf of Mexico",USA,Garden Banks - 668,Gunnison,Gunnison,"Anadarko, Dominion E&P",Installed,Satellite,2005,FMC,2,"1,661",
"USA, Gulf of Mexico",USA,Green Canyon - 20,Gyrfalcon,"Gyrfalcon, Gyrfalcon - Decommissioning",Shell,Removed,Satellite,1999,Cooper Cameron,1,268,
"USA, Gulf of Mexico",USA,Garden Banks - 341,Habanero,"Habanero, Habanero workover",Shell,Installed,Satellite,2003,FMC,2,614,
"USA, Gulf of Mexico",USA,Keathley Canyon - 918,Hadrian,Hadrian North,ExxonMobil,Planned,Cluster,2017,,4,"2,256",
"USA, Gulf of Mexico",USA,Keathley Canyon - 964,Hadrian,Hadrian South,ExxonMobil,Construction,,2015,,4,"2,256",12/12: 2 wells initially with future expansion potential
"USA, Gulf of Mexico",USA,East Breaks - 759,Harrier,Harrier,Pioneer,Installed,Satellite,2003,Cooper Cameron,1,"1,254",
"USA, Gulf of Mexico",USA,Green Canyon - 859,Heidelberg,Heidelberg,Anadarko,Construction,,2015,FMC,5,"1,646",
"USA, Gulf of Mexico",USA,High Island - A-547,High Island A-545,HI A-545 SS proj,ERT,Installed,Satellite,2007,,1,74,
"USA, Gulf of Mexico",USA,High Island - A-253,High Island A-253,High Island A-253,ATP Oil & Gas,Installed,Satellite,2000,,1,42,"Spud 9/99. Phs 1: Oceaneering to refurb mudline tree owned by Oceaneering + engrg/proj mgt. If well is successful, Phs 2: Oceaneering install flowline, umbilical, subsea connections."
"USA, Gulf of Mexico",USA,High Island - A-273,High Island A-273,High Island A-273 - Tarpon SS,Tarpon,Cancelled,Satellite,2008,,1,48,Well was dry-hole
"USA, Gulf of Mexico",USA,High Island - A-309,High Island A-309,High Island A-309,ConocoPhillips,Installed,Satellite,1994,Dril-Quip,1,65,
"USA, Gulf of Mexico",USA,High Island - A-325,High Island A-325,High Island A-325,Pennzoil,Installed,Satellite,1989,Cooper Cameron,2,70,
"USA, Gulf of Mexico",USA,High Island - A-327,High Island A-327,High Island A-327,Anadarko,Installed,Satellite,1994,Kvaerner Brug,1,68,
"USA, Gulf of Mexico",USA,High Island - A-336,High Island A-336,High Island A-336 - Tarpon SS,Tarpon,Removed,Satellite,2005,,1,72,
"USA, Gulf of Mexico",USA,High Island - A-345,High Island A-345,High Island A-345,Seneca Resources,Decommissioned,Satellite,2003,,1,73,
"USA, Gulf of Mexico",USA,High Island - A-370,High Island A-370,High Island A-370,Anadarko,Installed,Satellite,1990,VetcoGray,1,113,
"USA, Gulf of Mexico",USA,High Island - A-373,High Island A-373,High Island A-373,Enron,Removed,Satellite,1992,FMC,1,111,
"USA, Gulf of Mexico",USA,High Island - A-378,High Island A-378,High Island A-378,Anadarko,Installed,Satellite,1998,FMC,1,101,
"USA, Gulf of Mexico",USA,High Island - A-441,High Island A-441,High Island A-441,W & T Offshore,Installed,Satellite,2000,Dril-Quip,1,51,
"USA, Gulf of Mexico",USA,High Island - A-466,High Island A-466,High Island A-466,ERT,Removed,Satellite,2007,Dril-Quip,1,54,
"USA, Gulf of Mexico",USA,High Island - A-519,High Island A-519,High Island A-519,Koch,Installed,Satellite,1991,Lanzagorta,1,67,
"USA, Gulf of Mexico",USA,High Island - A-544,High Island A-544,"High Island A-544, High Island A-544 Decommissioning",ERT,Decommissioned,Satellite,2003,,1,71,HERCULES 251 P&A well
"USA, Gulf of Mexico",USA,High Island - A-553,High Island A-553,High Island A-553,Mission Resources,Removed,,2005,Cooper Cameron,2,81,
"USA, Gulf of Mexico",USA,High Island - A-573,High Island A-573,High Island A-573,ExxonMobil,Installed,Satellite,1980,Cooper Cameron,1,109,
"USA, Gulf of Mexico",USA,High Island - A-587,High Island A-587,High Island A-587,BP,Installed,Satellite,1990,VetcoGray,1,145,
"USA, Gulf of Mexico",USA,Green Canyon - 643,Holstein Deep,Holstein Deep,Freeport-McMoran,Construction,Satellite,2017,,3,"1,184",
"USA, Gulf of Mexico",USA,Atwater Valley - 36,Independence Hub,Independence Hub,Anadarko,Installed,Satellite,2006,FMC,2,"2,408",Merganser discovered in 2001. First production targeted for 2007. Kerr-McGee has a 50% W.I. and Devon Energy holds a 50% W.I. in the field. Estimated reserves = 200-400 Bcfe.
"USA, Gulf of Mexico",USA,Lloyd Ridge - 50,Independence Hub,Independence Hub,Anadarko,Installed,Satellite,2006,FMC,1,"2,728",Atlas discovered in June 2003 and Atlas NW in January 2004. Anadarko holds 100% W.I. in the fields. First production expected in 2007
"USA, Gulf of Mexico",USA,Lloyd Ridge - 2,Independence Hub,Independence Hub,Murphy,Installed,Satellite,2007,,1,"2,549",Discovery on field announced in January 2005. Independence Hub is scheduled for start-up in 2007.Previously called South Dachshund.
"USA, Gulf of Mexico",USA,Miss Canyon - 961,Independence Hub,Independence Hub,Statoil,Installed,Satellite,2007,FMC,1,"2,416",
"USA, Gulf of Mexico",USA,Atwater Valley - 261,Independence Hub,Independence Hub,Anadarko,Installed,Cluster,2007,FMC,1,"2,543",Vortex discovered in December 2002. First production targeted for 2007. Kerr-McGee and Anadarko each holds a 50% W.I. in the field.
"USA, Gulf of Mexico",USA,DeSoto Canyon - 621,Independence Hub,Independence Hub,Anadarko,Installed,Cluster,2007,,3,"2,469",All Independence Hub fields to come online before year-end 2007.
"USA, Gulf of Mexico",USA,Atwater Valley - 349,Independence Hub,Independence Hub,Anadarko,Installed,Cluster,2007,FMC,2,"2,682",Jubilee discovered in April 2003. First production targeted for 2007. Anadarko holds 100% W.I. in the field. Estimated reserves = 40-50 MMBOE.
"USA, Gulf of Mexico",USA,Lloyd Ridge - 5,Independence Hub,Independence Hub,Anadarko,Installed,Satellite,2007,FMC,1,"2,728",Atlas discovered in June 2003 and Atlas NW in January 2004. Anadarko holds 100% W.I. in the fields. First production expected in 2007
"USA, Gulf of Mexico",USA,DeSoto Canyon - 618,Independence Hub,Independence Hub,Dominion E&P,Decommissioned,Cluster,2007,,2,"2,391",Field to come online before year-end 07
"USA, Gulf of Mexico",USA,Lloyd Ridge - 399,Independence Hub,Independence Hub,Shell,Decommissioned,Satellite,2008,,2,"2,739",
"USA, Gulf of Mexico",USA,Green Canyon - 157,J Bellis,J Bellis,Hess,Installed,Cluster,2005,,3,798,
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,Construction,Cluster,2015,Cameron,6,"2,124","One, eight slot manifold to serve Jack portion of Phase I"
"USA, Gulf of Mexico",USA,Walker Ridge - 678,Jack/St. Malo,Jack/St. Malo Phase I,Chevron,Construction,Cluster,2015,Cameron,6,"2,103","Two, eight slot manifolds planned for St. Malo portion of phase I."
"USA, Gulf of Mexico",USA,Walker Ridge - 759,Jack/St. Malo,Jack/St. Malo Phase II,Chevron,Construction,,2018,OneSubsea,25,"2,103",Additional subsea trees to be added incrementally as needed following first production
"USA, Gulf of Mexico",USA,Walker Ridge - 584,Julia (GoM),Julia (GoM),ExxonMobil,Construction,Cluster,2016,FMC,6,"2,000","tie-back to Jack/St. Malo development; initially built for 34,000 gross barrels of oil per day"
"USA, Gulf of Mexico",USA,Walker Ridge - 584,Julia (GoM),Julia (GoM),ExxonMobil,Planned,,2018,FMC,3,"2,000",
"USA, Gulf of Mexico",USA,Green Canyon - 562,K2,K2,Eni,Installed,Satellite,2005,VetcoGray,3,"1,207",
"USA, Gulf of Mexico",USA,Green Canyon - 562,K2,K2 Expansion,Anadarko,Planned,Satellite,2014,,1,"1,223",
"USA, Gulf of Mexico",USA,Green Canyon - 518,K2 North,"K2 North, K2 North - Well Workover",Anadarko,Installed,Satellite,2005,FMC,3,"1,217",
"USA, Gulf of Mexico",USA,Green Canyon - 606,K2 South,K2 South,Anadarko,Installed,Satellite,2009,,2,"1,250",
"USA, Gulf of Mexico",USA,Keathley Canyon - 292,Kaskida,Kaskida,BP,Possible,Cluster,2022,,10,"1,786","Considering three development options. The first would be a two-phase plan utilizing a system of tie-backs toa leased FPSO, developing between two and eight wells in Phase I. Phase II would be an expansion on the firstphase, allowing more subse wells to tie back to the FPSO. The second development plan would consist of a largefield scenario containing between 10 and 25 wells."
"USA, Gulf of Mexico",USA,Green Canyon - 40,Katmai,Katmai,Noble Energy,Planned,Satellite,2016,,1,640,
"USA, Gulf of Mexico",USA,Miss Canyon - 764,King Shell,King (MC-764),Shell,Installed,Satellite,2000,FMC,1,"1,001",King formerly operated by Vastar Resources.
"USA, Gulf of Mexico",USA,Miss Canyon - 84,,King BP,BP,Installed,Satellite,2001,Cooper Cameron,2,"1,676","10/08 2007, the project to retrofit two existing subsea wells with the innovative subsea booster pump to optimise oil recovery"
"USA, Gulf of Mexico",USA,Miss Canyon - 84,Marlin Hub,King BP 2015 Enhancement,"BP, Shell",Planned,,2015,,2,"1,573",
"USA, Gulf of Mexico",USA,Green Canyon - 472,King Kong,King Kong,Mariner Energy,Installed,Satellite,2001,Cooper Cameron,3,"1,152",Mariner acquired Shell's 50% stake. Complete 1 previously drilled well + drill addl well.AGIP = 50% (thru British-Borneo). Will develop together w/Yosemite prospect (1 tree). Agip to take over as operator upon first production. First production expected by 12/11/01.
"USA, Gulf of Mexico",USA,Miss Canyon - 129,Mississippi Canyon 129,King South,BP,Installed,Satellite,2008,,1,"1,706",
"USA, Gulf of Mexico",USA,Miss Canyon - 84,King West,King West,BP,Installed,Satellite,2003,,1,"1,655",
"USA, Gulf of Mexico",USA,Miss Canyon - 173,King's Peak,King's Peak,BP,Installed,Cluster,2002,Cooper Cameron,4,"1,981",
"USA, Gulf of Mexico",USA,Miss Canyon - 771,Kodiak,Kodiak,Deep Gulf Energy,Construction,Satellite,2015,Cameron,2,"1,710",
"USA, Gulf of Mexico",USA,Miss Canyon - 127,KOQV,KOQV,Freeport-McMoran,Construction,Cluster,2015,,2,"1,661",
"USA, Gulf of Mexico",USA,Garden Banks - 409,Ladybug,Ladybug,ATP Oil & Gas,Installed,Satellite,2001,,2,413,
"USA, Gulf of Mexico",USA,East Breaks - 599,Larsen,Larsen tie-back,Anadarko,Installed,Satellite,2007,FMC,3,"1,073",Wells to be drilled beginning January 07 - August 07. Install pipelines beginning August 07 with production mid-September.
"USA, Gulf of Mexico",USA,Green Canyon - 238,Little Burn,Little Burn,ERT,Installed,Satellite,2011,FMC,1,625,4/11: rig on location
"USA, Gulf of Mexico",USA,Garden Banks - 385,Llano,Llano,Shell,Installed,Satellite,2004,FMC,2,823,
"USA, Gulf of Mexico",USA,Garden Banks - 386,Llano,Llano Phase II,Shell,Installed,Satellite,2013,FMC,2,800,Shell has frame agreement with FMC for dw ss equipment
"USA, Gulf of Mexico",USA,Miss Canyon - 546,Longhorn,Longhorn,Eni,Installed,Cluster,2009,Aker Solutions,3,762,Blk 546 was formerly called Ringo by Nexen. Acreage in adjacent blks pooled. Project called Longhorn now. Currently bidding installation work.
"USA, Gulf of Mexico",USA,Miss Canyon - 502,Longhorn,Longhorn Phase II - Leo,Eni,Installed,Satellite,2009,,1,732,additional subsea well to be tied into Longhorn production at Corral
"USA, Gulf of Mexico",USA,Miss Canyon - 546,Longhorn,Longhorn Phase III,Eni,Installed,Satellite,2013,OneSubsea,1,792,
"USA, Gulf of Mexico",USA,Green Canyon - 199,Lorien,Lorien,Noble Energy,Installed,Satellite,2005,Cameron,2,664,Lorien discovered in July 2003
"USA, Gulf of Mexico",USA,East Breaks - 421,Lost Ark,"Lost Ark, Lost Ark - Removal",Noble Energy,Decommissioned,Satellite,2002,Cameron,1,823,"The well ceased production in the Lentic Sand, (Perfs 6700' - 6760') July 19, 2007 due to reservoir depletion and water production. 
Well onstream by mid-2002. May include a second well after initial well startup. Rig on location to complete subsea well."
"USA, Gulf of Mexico",USA,Keathley Canyon - 875,Lucius,Lucius,Anadarko,Installed,Cluster,2013,FMC,6,"2,164",6 subsea trees & 2 manifolds; deliveries to begin from FMC 4Q2012
"USA, Gulf of Mexico",USA,Garden Banks - 602,Macaroni,"Macaroni, Macaroni well intervention",Shell,Installed,Cluster,2000,FMC,3,"1,126",subsea system consists of three subsea satellite wells clustered around a four-well subsea manifold
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,Cancelled,Cluster,2016,FMC,10,"1,700","4/19/13: BP confirms it is re-evaluating development plans for Mad Dog Phase 2. Project is postponed while partners review. 

Unclear if FMC contract for subsea equipment has been impacted."
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,Planned,Cluster,2018,,10,"1,700",Potential for Mad Dog South to have a total of up to 33 subsea wells - 19 production and 14 injection. Timing of drilling uncertain. Projected to begin as early as 2014
"USA, Gulf of Mexico",USA,Green Canyon - 825,Mad Dog South,Mad Dog Phase II,BP,Cancelled,Cluster,2020,,13,"1,700","4/19/13: BP confirms it is re-evaluating development plans for Mad Dog Phase 2. Project is postponed while partners review. 

Unclear if FMC contract for subsea equipment has been impacted."
"USA, Gulf of Mexico",USA,Alaminos Canyon - 24,Madison,Madison,ExxonMobil,Installed,Satellite,2001,FMC,1,"1,481",
"USA, Gulf of Mexico",USA,East Breaks - 424,Magellan,Magellan,Apache,Possible,,2015,,2,914,
"USA, Gulf of Mexico",USA,Main Pass - 131,Main Pass 131,Main Pass 131,ATP Oil & Gas,Installed,Satellite,1998,,1,49,
"USA, Gulf of Mexico",USA,Main Pass - 145,Main Pass 145,"Main Pass 145, Main Pass 145 Removal",ConocoPhillips,Decommissioned,Satellite,1989,FMC,1,67,
"USA, Gulf of Mexico",USA,Main Pass - 150,Main Pass 150,Main Pass 150,Walter Oil & Gas,Installed,Satellite,2000,Dril-Quip,1,75,Commence production 1q01.
"USA, Gulf of Mexico",USA,Main Pass - 185,Main Pass 185,Main Pass 185,Cimarex Energy Co.,Installed,Satellite,2007,,1,47,
"USA, Gulf of Mexico",USA,Main Pass - 200,Main Pass 200,Main Pass 200,Cimarex Energy Co.,Installed,Satellite,2007,,1,47,
"USA, Gulf of Mexico",USA,Main Pass - 211,Main Pass 211,Main Pass 211,Magnum Hunter,Installed,,2007,,1,59,
"USA, Gulf of Mexico",USA,Main Pass - 233,Main Pass 233,Main Pass 233,ERT,Installed,Satellite,2008,,2,60,
"USA, Gulf of Mexico",USA,Main Pass - 241,Main Pass 241,Main Pass 241,Cimarex Energy Co.,Installed,Satellite,2007,,1,61,
"USA, Gulf of Mexico",USA,Main Pass - 260,Main Pass 260,"Main Pass 260, Main Pass 260 SS Decom",Santa Fe Snyder,Removed,Satellite,1999,FMC,1,96,
"USA, Gulf of Mexico",USA,Main Pass - 262,Main Pass 262,Main Pass 262,CXY Energy (A),Installed,Satellite,1996,,1,86,
"USA, Gulf of Mexico",USA,Main Pass - 263,Main Pass 263,Main Pass 263,Magnum Hunter,Installed,Satellite,2003,FMC,1,85,First production by mid 2003. Well #1 ss tree installed by rig.
"USA, Gulf of Mexico",USA,Main Pass - 286,Main Pass 286,"Main Pass 286, Main Pass 286 - Decommissioning",Walter Oil & Gas,Removed,Satellite,2003,Dril-Quip,1,89,
"USA, Gulf of Mexico",USA,Main Pass - 290,Main Pass 290,Main Pass 290,Shell,Installed,Satellite,1972,VetcoGray,2,114,
"USA, Gulf of Mexico",USA,Main Pass - 291,Main Pass 291,Main Pass 291,Walter Oil & Gas,Installed,Satellite,1993,ABB Vetco Gray,1,84,
"USA, Gulf of Mexico",USA,Main Pass - 232,Main Pass 232,Main Pass Blk 232,Maritech Resources,Installed,,2008,FMC,1,57,
"USA, Gulf of Mexico",USA,Green Canyon - 155,Manatee,Manatee,Shell,Installed,Satellite,2002,FMC,2,591,Manatee is a two well subsea development consisting of a 5-mile tieback to Shell's Angus subsea manifold in Green Canyon 113
"USA, Gulf of Mexico",USA,Miss Canyon - 199,Mandy,Mandy,LLOG,Installed,Cluster,2011,,3,762,
"USA, Gulf of Mexico",USA,Green Canyon - 608,Marco Polo,Marco Polo,Anadarko,Installed,,2003,FMC,2,"1,310",Worlds deepest tension-leg platform.
"USA, Gulf of Mexico",USA,,Marlin Hub,Marlin Hub Enhancement,Freeport-McMoran,Planned,,2015,,1,"1,808",
"USA, Gulf of Mexico",USA,Viosca Knoll - 915,Marlin Hub,Marlin Hub Enhancement,Freeport-McMoran,Planned,,2018,,2,"1,066",
"USA, Gulf of Mexico",USA,Miss Canyon - 807,Mars,Mars,Shell,Installed,Satellite,1996,ABB Vetco Gray,1,894,
"USA, Gulf of Mexico",USA,Miss Canyon - 762,Mars B,Mars B,Shell,Construction,Cluster,2015,FMC,5,945,
"USA, Gulf of Mexico",USA,Miss Canyon - 806,Mars B,Mars B,Shell,Construction,Satellite,2015,FMC,1,915,"Operator is considering additional subsea tie-backs orpossibly a stand-alone facility, depending on production results/test on Phase I."
"USA, Gulf of Mexico",USA,East Breaks - 949,Marshall,Marshall,ExxonMobil,Installed,Satellite,2001,FMC,2,"1,402",
"USA, Gulf of Mexico",USA,Miss Canyon - 243,Matterhorn,Matterhorn,Total,Cancelled,Satellite,2005,,1,869,
"USA, Gulf of Mexico",USA,Miss Canyon - 582,Medusa,Medusa #5,Murphy,Installed,Satellite,2008,Kvaerner Brug,1,640,Rig will drill and complete well installing subsea wellhead
"USA, Gulf of Mexico",USA,Miss Canyon - 538,Medusa North,Medusa North,Murphy,Installed,Satellite,2004,,1,561,
"USA, Gulf of Mexico",USA,Miss Canyon - 582,Medusa,Medusa Subsea Expansion,Murphy,Planned,,2019,,4,640,wells to be brought online as they are drilled and completed 2015-2019/2020
"USA, Gulf of Mexico",USA,Miss Canyon - 687,Mensa,Mensa,Shell,Installed,Cluster,1998,FMC,3,"1,646",
"USA, Gulf of Mexico",USA,Miss Canyon - 687,Mensa,Mensa Phase II,Shell,Installed,Cluster,2003,FMC,1,"1,621",
"USA, Gulf of Mexico",USA,Miss Canyon - 687,Mensa,Mensa Phase III,Shell,Installed,Cluster,2006,,1,"1,616",Production from new wells will be tied back with jumpers to flow to existing production system
"USA, Gulf of Mexico",USA,Miss Canyon - 687,Mensa,Mensa Phase IV,Shell,Installed,Cluster,2010,,1,"1,613",Production from new wells will be tied back with jumpers to flow to existing production system
"USA, Gulf of Mexico",USA,Atwater Valley - 37,Independence Hub,Merganser Addition,Anadarko,Installed,,2010,,1,"2,418","well is jumper connected to an existing, installed flowline"
"USA, Gulf of Mexico",USA,Miss Canyon - 211,Mica,Mica Phase I,ExxonMobil,Installed,Cluster,2001,FMC,2,"1,328","First production 8/01. Systemcan accomodate up to four wells. Peak production at 15,000 b/d and 150 Mcf/d."
"USA, Gulf of Mexico",USA,Miss Canyon - 211,Mica,Mica Phase I,ExxonMobil,Installed,Satellite,2002,FMC,1,"1,328","Well drilled and completed August 28, 2002. Second well, Well #4, scheduled to be drilled and completed on Mica Phase 2 in 2004."
"USA, Gulf of Mexico",USA,Miss Canyon - 167,Mica,Mica Phase II,ExxonMobil,Installed,Satellite,2004,FMC,1,"1,328","Well #3 of Mica Phase 2, drilled and compeled in August 2002. Application submitted to sidetrack existing well filed with MMS in August 2004."
"USA, Gulf of Mexico",USA,Miss Canyon - 161,Miss Canyon 161,Miss Canyon 161,Walter Oil & Gas,Installed,Satellite,2007,Dril-Quip,1,891,Subsea tree frame agreement.
"USA, Gulf of Mexico",USA,Miss Canyon - 241,Miss Canyon 241,Miss Canyon 241,Walter Oil & Gas,Installed,Satellite,2007,Dril-Quip,1,740,
"USA, Gulf of Mexico",USA,Miss Canyon - 401,Mississippi Canyon 401,Miss Canyon 401,Anadarko,Decommissioned,,1993,,2,,
"USA, Gulf of Mexico",USA,Miss Canyon - 546,Miss Canyon 546,Miss Canyon 546,LLOG,Planned,Cluster,2015,,2,782,
"USA, Gulf of Mexico",USA,Miss Canyon - 707,Miss Canyon 707,Miss Canyon 707,LLOG,Installed,Satellite,2007,FMC,1,469,FMC EXHT 10M SS TREE INSTALLED
"USA, Gulf of Mexico",USA,Miss Canyon - 72,Miss Canyon 72,Miss Canyon 72,LLOG,Installed,,2009,FMC,1,614,
"USA, Gulf of Mexico",USA,Miss Canyon - 148,Mississippi Canyon 148,"Mississippi Canyon 148 Apache, Mississippi Canyon 148 Apache decommissioning","Apache, BP",Decommissioned,Satellite,2006,,1,168,
"USA, Gulf of Mexico",USA,Miss Canyon - 321,Mississippi Canyon 321,Mississippi Canyon 321,Walter Oil & Gas,Installed,Satellite,2001,Dril-Quip,1,173,
"USA, Gulf of Mexico",USA,Miss Canyon - 322,Mississippi Canyon 322,Mississippi Canyon 322,Walter Oil & Gas,Installed,Satellite,2001,,2,207,
"USA, Gulf of Mexico",USA,Miss Canyon - 357,Mississippi Canyon 357,Mississippi Canyon 357,McMoRan,Installed,Satellite,1997,Cooper Cameron,1,136,
"USA, Gulf of Mexico",USA,Miss Canyon - 441,Mississippi Canyon 441,Mississippi Canyon 441,EP Operating,Installed,Template,1992,Cooper Cameron,4,463,
"USA, Gulf of Mexico",USA,Miss Canyon - 442,Mississippi Canyon 442,Mississippi Canyon 442,EP Operating,Installed,Template,1992,Cooper Cameron,2,463,
"USA, Gulf of Mexico",USA,Miss Canyon - 583,Mississippi Canyon 583,Mississippi Canyon 583,Walter Oil & Gas,Installed,Satellite,2005,Dril-Quip,1,829,Frame agreement.
"USA, Gulf of Mexico",USA,Miss Canyon - 68,Mississippi Canyon 68,Mississippi Canyon 68,"Walter Oil & Gas, ATOFINA Petrochemicals, Inc.",Installed,Satellite,2002,Dril-Quip,1,445,Diamond Offshore's semi Ocean Concord will drill the well and set the subsea tree.Initial production is expected by late September. MC 20 Plat A is operated by Taylor Energy. Existing flowline will be used.
